18/08/2026 - 15:48:08 | google.com | PING | SUCESSO!
18/08/2026 - 15:48:33 | google.com | PING | SUCESSO!
18/08/2026 - 15:49:43 | google.com | PING | SUCESSO!
18/08/2026 - 15:49:45 | google.com | HTTP | SUCESSO!
18/08/2026 - 15:49:46 | google.com | DNS | SUCESSO!
18/08/2026 - 15:50:31 | google.com | PING | SUCESSO!
18/08/2026 - 15:50:34 | google.com | HTTP | SUCESSO!
18/08/2026 - 15:50:34 | google.com | DNS | SUCESSO!
18/08/2026 - 15:51:24 | google.com | PING | SUCESSO!
18/08/2026 - 15:51:26 | google.com | HTTP | SUCESSO!
18/08/2026 - 15:51:26 | google.com | DNS | SUCESSO!
18/08/2026 - 15:52:57 | google.com | PING | SUCESSO!
18/08/2026 - 15:53:00 | google.com | HTTP | SUCESSO!
18/08/2026 - 15:53:00 | google.com | DNS | SUCESSO!
18/08/2026 - 15:54:18 | google.com | PING | SUCESSO!
18/08/2026 - 15:54:20 | google.com | HTTP | SUCESSO!
18/08/2026 - 15:54:21 | google.com | DNS | SUCESSO!
18/08/2026 - 16:00:15 | google.com | PING | SUCESSO!
18/08/2026 - 16:00:18 | google.com | HTTP | SUCESSO!
18/08/2026 - 16:00:18 | google.com | DNS | SUCESSO!
18/08/2026 - 16:01:29 | google.com | PING | SUCESSO!
18/08/2026 - 16:01:32 | google.com | HTTP | SUCESSO!
18/08/2026 - 16:01:32 | google.com | DNS | SUCESSO!
18/08/2026 - 16:01:50 | google.com | PING | SUCESSO!
18/08/2026 - 16:01:53 | google.com | HTTP | SUCESSO!
18/08/2026 - 16:01:53 | google.com | DNS | SUCESSO!
18/08/2026 - 16:03:35 | google.com | PING | SUCESSO!
18/08/2026 - 16:03:38 | google.com | HTTP | SUCESSO!
18/08/2026 - 16:03:38 | google.com | DNS | SUCESSO!
18/08/2026 - 16:06:57 | google.com | PING | SUCESSO!
18/08/2026 - 16:07:00 | google.com | HTTP | SUCESSO!
18/08/2026 - 16:07:00 | google.com | DNS | SUCESSO!
18/08/2026 - 16:10:33 | google.com | PING | SUCESSO!
18/08/2026 - 16:10:35 | google.com | HTTP | SUCESSO!
18/08/2026 - 16:10:35 | google.com | DNS | SUCESSO!
18/08/2026 - 16:12:36 | google.com | PING | SUCESSO!
18/08/2026 - 16:12:38 | google.com | HTTP | SUCESSO!
18/08/2026 - 16:12:38 | google.com | DNS | SUCESSO!
19/08/2026 - 14:54:52 | google.com | PING | ERRO!
19/08/2026 - 14:55:04 | google.com | HTTP | ERRO!
19/08/2026 - 14:55:16 | google.com | DNS | ERRO!
19/08/2026 - 15:03:58 | google.com | PING | SUCESSO!
19/08/2026 - 15:03:59 | google.com | PING | SUCESSO!
19/08/2026 - 15:03:59 | google.com | HTTP | SUCESSO!
19/08/2026 - 15:03:59 | google.com | HTTP | SUCESSO!
19/08/2026 - 15:03:59 | google.com | DNS | SUCESSO!
19/08/2026 - 15:03:59 | google.com | DNS | SUCESSO!
19/08/2026 - 15:06:11 | google.com | PING | SUCESSO!
19/08/2026 - 15:06:11 | google.com | PING | SUCESSO!
19/08/2026 - 15:06:34 | google.com | HTTP | ERRO!
19/08/2026 - 15:06:34 | google.com | HTTP | ERRO!
19/08/2026 - 15:06:34 | google.com | DNS | SUCESSO!
19/08/2026 - 15:06:34 | google.com | DNS | SUCESSO!
19/08/2026 - 15:07:56 | google.com | PING | SUCESSO!
19/08/2026 - 15:07:56 | google.com | PING | SUCESSO!
19/08/2026 - 15:07:58 | google.com | HTTP | ERRO!
19/08/2026 - 15:07:58 | google.com | HTTP | ERRO!
19/08/2026 - 15:07:58 | google.com | DNS | SUCESSO!
19/08/2026 - 15:07:58 | google.com | DNS | SUCESSO!
19/08/2026 - 15:08:19 | google.com | PING | SUCESSO!
19/08/2026 - 15:08:19 | google.com | PING | SUCESSO!
19/08/2026 - 15:08:19 | google.com | HTTP | SUCESSO!
19/08/2026 - 15:08:19 | google.com | HTTP | SUCESSO!
19/08/2026 - 15:08:19 | google.com | DNS | SUCESSO!
19/08/2026 - 15:08:19 | google.com | DNS | SUCESSO!
19/08/2026 - 15:08:46 | google.com | PING | ERRO!
19/08/2026 - 15:08:46 | google.com | PING | ERRO!
19/08/2026 - 15:11:01 | google.com | HTTP | ERRO!
19/08/2026 - 15:11:01 | google.com | HTTP | ERRO!
19/08/2026 - 15:11:01 | google.com | DNS | SUCESSO!
19/08/2026 - 15:11:01 | google.com | DNS | SUCESSO!
19/08/2026 - 15:16:58 | google.com | PING | SUCESSO!
19/08/2026 - 15:17:21 | google.com | HTTP | ERRO!
19/08/2026 - 15:17:21 | google.com | DNS | SUCESSO!
19/08/2026 - 15:19:06 | google.com | PING | SUCESSO!
19/08/2026 - 15:19:06 | google.com | HTTP | SUCESSO!
